"","GAME_ID","Date","Team","Score","AtB","1B","2B","3B","Hr","RBI","SH","SF","HP","W","IW","SO","SB","CS","GDP","AFCI","LB","PU","IER","TER","WP","B","PO","A","E","PB","DP","TP"
"1789","ARI201608170",20160817,"NYN",5,36,10,3,0,2,4,1,0,1,2,0,6,0,0,0,0,8,5,13,13,2,0,24,8,0,0,1,0
"1856","ARI201608220",20160822,"ATL",8,36,12,2,1,3,8,1,1,0,5,1,9,0,0,0,0,8,4,9,9,1,0,24,7,0,0,1,0
"1868","ARI201608230",20160823,"ATL",7,37,12,3,0,0,6,0,2,1,5,0,11,1,0,0,0,11,6,4,4,0,0,27,8,0,0,0,0
"1882","ARI201608240",20160824,"ATL",9,44,14,4,0,1,9,1,1,0,10,1,12,0,0,1,0,14,6,10,10,1,0,32,11,0,0,1,0
"1896","ARI201608250",20160825,"ATL",3,34,8,3,0,0,3,0,0,0,5,1,9,1,1,1,0,9,2,1,1,0,0,27,12,1,0,1,0
"1909","ARI201608260",20160826,"CIN",3,40,12,3,0,0,3,2,1,0,6,2,4,0,0,1,0,13,5,4,4,2,1,32,8,0,0,0,0
"1924","ARI201608270",20160827,"CIN",13,44,16,2,0,5,12,0,0,1,2,0,6,0,0,0,0,7,1,0,0,0,0,27,11,0,0,2,0
"1939","ARI201608280",20160828,"CIN",2,30,5,0,0,2,2,0,0,0,0,0,7,0,1,1,0,1,5,10,10,1,0,24,10,1,0,0,0
"2099","ARI201609090",20160909,"SFN",7,45,12,3,0,1,6,0,1,0,9,1,10,0,0,1,0,12,8,6,6,1,0,36,11,0,0,0,0
"2114","ARI201609100",20160910,"SFN",11,43,19,4,2,1,9,1,0,0,5,1,8,1,0,2,0,11,3,3,3,0,0,27,16,0,0,1,0
"2129","ARI201609110",20160911,"SFN",5,33,8,1,0,1,5,1,0,0,5,1,6,0,0,1,0,7,4,3,3,0,0,27,6,0,0,1,0
"2144","ARI201609120",20160912,"COL",9,41,14,5,0,1,7,0,0,0,2,0,9,0,1,0,0,7,6,11,11,1,1,24,10,1,0,0,0
"2159","ARI201609130",20160913,"COL",4,35,8,3,1,1,4,0,0,0,2,0,11,0,0,0,0,6,6,10,10,1,0,24,11,0,2,0,0
"2174","ARI201609140",20160914,"COL",6,36,13,2,1,2,6,1,1,0,4,0,9,0,0,2,0,9,7,8,8,1,0,24,9,2,0,1,0
"2187","ARI201609150",20160915,"LAN",3,35,9,3,0,0,2,0,0,0,2,0,11,0,0,1,0,7,3,7,7,1,0,24,6,0,1,0,0
"2198","ARI201609160",20160916,"LAN",3,31,5,1,1,0,1,0,0,0,4,1,6,0,0,1,0,5,7,2,2,1,0,27,9,0,0,0,0
"2213","ARI201609170",20160917,"LAN",6,36,11,3,1,1,4,0,1,0,4,1,4,1,0,1,0,8,6,2,2,0,0,27,7,1,0,0,0
"2229","ARI201609180",20160918,"LAN",9,46,10,4,0,1,9,0,0,0,7,0,14,1,0,0,0,8,9,8,8,1,0,35,14,1,0,0,0
"2390","ARI201609300",20160930,"SDN",3,36,9,2,0,1,3,0,0,1,2,0,7,0,0,0,0,9,4,5,5,1,0,24,6,0,0,1,0
"2405","ARI201610010",20161001,"SDN",5,38,11,3,1,0,5,0,0,0,1,0,12,0,0,0,0,7,4,6,6,1,0,24,16,3,1,3,0
