"","Date","Team","Score","AtB","1B","2B","3B","Hr","RBI","SH","SF","HP","W","IW","SO","SB","CS","GDP","AFCI","LB","PU","IER","TER","WP","B","PO","A","E","PB","DP","TP"
"130",20130411,"BAL",3,34,9,2,0,1,3,0,0,0,6,1,7,0,0,1,0,10,5,2,2,0,0,27,7,0,0,0,0
"131",20130411,"TOR",1,33,9,1,0,0,1,0,1,1,2,0,6,1,0,1,0,9,4,11,11,1,0,24,8,0,0,1,0
"132",20130411,"TEX",4,36,11,2,0,1,4,0,0,0,2,0,8,0,0,1,0,7,5,3,3,0,0,27,13,0,0,0,0
"133",20130411,"SFN",7,35,9,1,0,0,6,1,1,1,6,0,9,0,0,1,0,10,4,5,5,1,0,27,8,2,0,1,0
"134",20130411,"LAN",3,38,11,0,0,2,3,0,0,0,4,0,7,0,0,0,0,12,6,2,2,2,0,27,8,1,0,2,0
"135",20130411,"CHA",4,40,13,5,0,0,4,0,0,1,1,0,9,1,0,0,0,11,4,7,7,1,0,24,9,1,0,1,0
"136",20130412,"HOU",5,35,10,3,0,1,5,0,0,0,6,0,7,0,1,0,0,9,4,0,0,0,0,27,11,0,0,2,0
"137",20130412,"CHA",0,30,5,2,0,0,0,0,0,0,1,0,7,0,1,1,0,4,3,1,1,0,0,26,8,0,0,0,0
"138",20130412,"TOR",8,34,8,5,0,0,7,0,1,0,4,0,8,2,0,0,0,4,3,4,4,0,0,27,12,0,0,0,0
"139",20130412,"NYN",16,43,15,4,2,1,15,0,1,0,5,0,4,0,0,0,0,6,4,4,4,1,0,27,8,1,0,1,0
"140",20130412,"BAL",2,33,9,1,0,0,2,0,0,0,0,0,9,0,0,2,0,4,4,2,2,0,0,24,13,1,0,1,0
"141",20130412,"DET",3,46,12,1,1,1,3,0,0,0,0,0,8,0,0,2,0,7,5,3,3,0,0,34,7,1,0,0,0
"142",20130412,"TEX",1,33,6,0,0,1,1,0,0,0,2,0,7,1,0,0,0,7,3,3,3,1,0,24,9,0,0,2,0
"143",20130412,"LAN",0,31,6,1,0,0,0,0,0,1,5,0,6,0,0,2,0,10,3,3,3,0,0,24,9,0,0,1,0
"144",20130412,"SFN",3,31,7,2,0,0,3,1,0,1,1,0,3,1,1,1,0,4,3,4,4,0,0,26,10,0,0,0,0
